;Geslacht;Onderwijssoort;Studierichting;Perioden;Enrollment;Freshmen
64138;Mannen;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2020;6755;1720
64139;Mannen;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2021;6744;1345
64140;Mannen;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2010;15576;2933
64141;Mannen;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2011;15420;2744
64142;Mannen;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2012;14884;2554
64143;Mannen;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2013;15795;2720
64144;Mannen;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2014;15894;2473
64145;Mannen;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2015;15724;2218
64146;Mannen;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2016;15715;2330
64147;Mannen;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2017;15604;2430
64148;Mannen;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2018;15116;2229
64149;Mannen;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2019;14682;2196
64150;Mannen;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2020;15046;2312
64151;Mannen;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2021;14781;2155
64152;Mannen;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2010;15704;3551
64153;Mannen;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2011;15848;3481
64154;Mannen;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2012;15750;3418
64155;Mannen;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2013;15880;3287
64156;Mannen;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2014;15923;3301
64157;Mannen;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2015;15316;2942
64158;Mannen;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2016;15090;3013
64159;Mannen;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2017;15007;3268
64160;Mannen;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2018;15641;3743
64161;Mannen;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2019;15866;3753
64162;Mannen;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2020;16743;3944
64163;Mannen;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2021;16813;3523
64164;Mannen;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2010;0;0
64165;Mannen;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2011;0;0
64166;Mannen;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2012;0;0
64167;Mannen;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2013;0;0
64168;Mannen;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2014;0;0
64169;Mannen;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2015;0;0
64170;Mannen;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2016;0;0
64171;Mannen;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2017;0;0
64172;Mannen;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2018;0;0
64173;Mannen;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2019;0;0
64174;Mannen;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2020;0;0
64175;Mannen;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2021;0;0
64176;Mannen;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2010;0;0
64177;Mannen;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2011;0;0
64178;Mannen;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2012;0;0
64179;Mannen;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2013;0;0
64180;Mannen;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2014;0;0
64181;Mannen;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2015;0;0
64182;Mannen;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2016;0;0
64183;Mannen;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2017;0;0
64184;Mannen;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2018;0;0
64185;Mannen;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2019;0;0
64186;Mannen;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2020;0;0
64187;Mannen;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2021;0;0
64188;Mannen;Hoger beroepsonderwijs;021 Kunst;2010;14873;3332
64189;Mannen;Hoger beroepsonderwijs;021 Kunst;2011;14888;3240
64190;Mannen;Hoger beroepsonderwijs;021 Kunst;2012;14832;3239
64191;Mannen;Hoger beroepsonderwijs;021 Kunst;2013;14918;3094
64192;Mannen;Hoger beroepsonderwijs;021 Kunst;2014;14979;3126
64193;Mannen;Hoger beroepsonderwijs;021 Kunst;2015;14424;2805
64194;Mannen;Hoger beroepsonderwijs;021 Kunst;2016;14232;2882
64195;Mannen;Hoger beroepsonderwijs;021 Kunst;2017;14141;3120
64196;Mannen;Hoger beroepsonderwijs;021 Kunst;2018;14809;3611
64197;Mannen;Hoger beroepsonderwijs;021 Kunst;2019;15037;3609
64198;Mannen;Hoger beroepsonderwijs;021 Kunst;2020;15858;3779
64199;Mannen;Hoger beroepsonderwijs;021 Kunst;2021;15911;3360
64200;Mannen;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2010;0;0
64201;Mannen;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2011;0;0
64202;Mannen;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2012;0;0
64203;Mannen;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2013;0;0
64204;Mannen;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2014;0;0
64205;Mannen;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2015;0;0
64206;Mannen;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2016;6;2
64207;Mannen;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2017;8;5
64208;Mannen;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2018;11;2
64209;Mannen;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2019;15;4
64210;Mannen;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2020;11;1
64211;Mannen;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2021;15;7
64212;Mannen;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2010;7826;1684
64213;Mannen;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2011;7959;1619
64214;Mannen;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2012;8133;1688
64215;Mannen;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2013;8201;1567
64216;Mannen;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2014;8236;1526
64217;Mannen;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2015;7919;1373
64218;Mannen;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2016;7763;1402
64219;Mannen;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2017;7614;1511
64220;Mannen;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2018;8191;1951
64221;Mannen;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2019;8433;2020
64222;Mannen;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2020;9109;2094
64223;Mannen;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2021;9100;1818
64224;Mannen;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2010;38;7
64225;Mannen;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2011;57;16
64226;Mannen;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2012;61;14
64227;Mannen;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2013;73;24
64228;Mannen;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2014;102;26
64229;Mannen;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2015;107;24
64230;Mannen;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2016;116;27
64231;Mannen;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2017;122;33
64232;Mannen;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2018;124;32
64233;Mannen;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2019;136;34
64234;Mannen;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2020;123;31
64235;Mannen;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2021;154;49
64236;Mannen;Hoger beroepsonderwijs;0213 Beeldende kunst, kunstgeschiedenis;2010;3418;788
64237;Mannen;Hoger beroepsonderwijs;0213 Beeldende kunst, kunstgeschiedenis;2011;3317;783
64238;Mannen;Hoger beroepsonderwijs;0213 Beeldende kunst, kunstgeschiedenis;2012;3167;697
64239;Mannen;Hoger beroepsonderwijs;0213 Beeldende kunst, kunstgeschiedenis;2013;3051;645
64240;Mannen;Hoger beroepsonderwijs;0213 Beeldende kunst, kunstgeschiedenis;2014;2969;661
64241;Mannen;Hoger beroepsonderwijs;0213 Beeldende kunst, kunstgeschiedenis;2015;2753;571
64242;Mannen;Hoger beroepsonderwijs;0213 Beeldende kunst, kunstgeschiedenis;2016;2752;625
64243;Mannen;Hoger beroepsonderwijs;0213 Beeldende kunst, kunstgeschiedenis;2017;2599;563
64244;Mannen;Hoger beroepsonderwijs;0213 Beeldende kunst, kunstgeschiedenis;2018;2600;629
64245;Mannen;Hoger beroepsonderwijs;0213 Beeldende kunst, kunstgeschiedenis;2019;2597;614
64246;Mannen;Hoger beroepsonderwijs;0213 Beeldende kunst, kunstgeschiedenis;2020;2683;650
64247;Mannen;Hoger beroepsonderwijs;0213 Beeldende kunst, kunstgeschiedenis;2021;2675;545
64248;Mannen;Hoger beroepsonderwijs;0214 Kunstnijverheid;2010;1;1
64249;Mannen;Hoger beroepsonderwijs;0214 Kunstnijverheid;2011;2;2
64250;Mannen;Hoger beroepsonderwijs;0214 Kunstnijverheid;2012;0;0
64251;Mannen;Hoger beroepsonderwijs;0214 Kunstnijverheid;2013;1;0
64252;Mannen;Hoger beroepsonderwijs;0214 Kunstnijverheid;2014;1;0
64253;Mannen;Hoger beroepsonderwijs;0214 Kunstnijverheid;2015;0;0
64254;Mannen;Hoger beroepsonderwijs;0214 Kunstnijverheid;2016;2;2
64255;Mannen;Hoger beroepsonderwijs;0214 Kunstnijverheid;2017;0;0
64256;Mannen;Hoger beroepsonderwijs;0214 Kunstnijverheid;2018;2;2
64257;Mannen;Hoger beroepsonderwijs;0214 Kunstnijverheid;2019;2;1
64258;Mannen;Hoger beroepsonderwijs;0214 Kunstnijverheid;2020;1;0
64259;Mannen;Hoger beroepsonderwijs;0214 Kunstnijverheid;2021;2;1
64260;Mannen;Hoger beroepsonderwijs;0215 Muziek en theater;2010;3590;852
64261;Mannen;Hoger beroepsonderwijs;0215 Muziek en theater;2011;3553;820
64262;Mannen;Hoger beroepsonderwijs;0215 Muziek en theater;2012;3471;840
64263;Mannen;Hoger beroepsonderwijs;0215 Muziek en theater;2013;3592;858
64264;Mannen;Hoger beroepsonderwijs;0215 Muziek en theater;2014;3671;913
64265;Mannen;Hoger beroepsonderwijs;0215 Muziek en theater;2015;3645;837
64266;Mannen;Hoger beroepsonderwijs;0215 Muziek en theater;2016;3593;824
64267;Mannen;Hoger beroepsonderwijs;0215 Muziek en theater;2017;3798;1008
64268;Mannen;Hoger beroepsonderwijs;0215 Muziek en theater;2018;3881;995
64269;Mannen;Hoger beroepsonderwijs;0215 Muziek en theater;2019;3854;936
64270;Mannen;Hoger beroepsonderwijs;0215 Muziek en theater;2020;3931;1003
64271;Mannen;Hoger beroepsonderwijs;0215 Muziek en theater;2021;3965;940
64272;Mannen;Hoger beroepsonderwijs;022 Geesteswetenschappen;2010;643;176
64273;Mannen;Hoger beroepsonderwijs;022 Geesteswetenschappen;2011;732;174
64274;Mannen;Hoger beroepsonderwijs;022 Geesteswetenschappen;2012;685;117
64275;Mannen;Hoger beroepsonderwijs;022 Geesteswetenschappen;2013;714;132
64276;Mannen;Hoger beroepsonderwijs;022 Geesteswetenschappen;2014;676;112
64277;Mannen;Hoger beroepsonderwijs;022 Geesteswetenschappen;2015;649;91
64278;Mannen;Hoger beroepsonderwijs;022 Geesteswetenschappen;2016;631;100
64279;Mannen;Hoger beroepsonderwijs;022 Geesteswetenschappen;2017;636;107
64280;Mannen;Hoger beroepsonderwijs;022 Geesteswetenschappen;2018;624;92
64281;Mannen;Hoger beroepsonderwijs;022 Geesteswetenschappen;2019;633;112
64282;Mannen;Hoger beroepsonderwijs;022 Geesteswetenschappen;2020;697;132
64283;Mannen;Hoger beroepsonderwijs;022 Geesteswetenschappen;2021;700;112
64284;Mannen;Hoger beroepsonderwijs;0220 Geesteswetenschappen z.n.d.;2010;0;0
64285;Mannen;Hoger beroepsonderwijs;0220 Geesteswetenschappen z.n.d.;2011;0;0
64286;Mannen;Hoger beroepsonderwijs;0220 Geesteswetenschappen z.n.d.;2012;0;0
64287;Mannen;Hoger beroepsonderwijs;0220 Geesteswetenschappen z.n.d.;2013;0;0
64288;Mannen;Hoger beroepsonderwijs;0220 Geesteswetenschappen z.n.d.;2014;0;0
64289;Mannen;Hoger beroepsonderwijs;0220 Geesteswetenschappen z.n.d.;2015;0;0
64290;Mannen;Hoger beroepsonderwijs;0220 Geesteswetenschappen z.n.d.;2016;0;0
64291;Mannen;Hoger beroepsonderwijs;0220 Geesteswetenschappen z.n.d.;2017;0;0
64292;Mannen;Hoger beroepsonderwijs;0220 Geesteswetenschappen z.n.d.;2018;0;0
64293;Mannen;Hoger beroepsonderwijs;0220 Geesteswetenschappen z.n.d.;2019;0;0
64294;Mannen;Hoger beroepsonderwijs;0220 Geesteswetenschappen z.n.d.;2020;0;0
64295;Mannen;Hoger beroepsonderwijs;0220 Geesteswetenschappen z.n.d.;2021;0;0
64296;Mannen;Hoger beroepsonderwijs;0221 Theologie, levensbeschouwing;2010;537;153
64297;Mannen;Hoger beroepsonderwijs;0221 Theologie, levensbeschouwing;2011;499;76
64298;Mannen;Hoger beroepsonderwijs;0221 Theologie, levensbeschouwing;2012;455;76
64299;Mannen;Hoger beroepsonderwijs;0221 Theologie, levensbeschouwing;2013;444;75
64300;Mannen;Hoger beroepsonderwijs;0221 Theologie, levensbeschouwing;2014;408;56
64301;Mannen;Hoger beroepsonderwijs;0221 Theologie, levensbeschouwing;2015;371;40
64302;Mannen;Hoger beroepsonderwijs;0221 Theologie, levensbeschouwing;2016;324;33
64303;Mannen;Hoger beroepsonderwijs;0221 Theologie, levensbeschouwing;2017;309;41
64304;Mannen;Hoger beroepsonderwijs;0221 Theologie, levensbeschouwing;2018;278;33
64305;Mannen;Hoger beroepsonderwijs;0221 Theologie, levensbeschouwing;2019;277;43
64306;Mannen;Hoger beroepsonderwijs;0221 Theologie, levensbeschouwing;2020;276;41
64307;Mannen;Hoger beroepsonderwijs;0221 Theologie, levensbeschouwing;2021;246;27
64308;Mannen;Hoger beroepsonderwijs;0222 Geschiedenis, archeologie;2010;106;23
64309;Mannen;Hoger beroepsonderwijs;0222 Geschiedenis, archeologie;2011;233;98
64310;Mannen;Hoger beroepsonderwijs;0222 Geschiedenis, archeologie;2012;230;41
64311;Mannen;Hoger beroepsonderwijs;0222 Geschiedenis, archeologie;2013;270;57
64312;Mannen;Hoger beroepsonderwijs;0222 Geschiedenis, archeologie;2014;268;56
64313;Mannen;Hoger beroepsonderwijs;0222 Geschiedenis, archeologie;2015;278;51
64314;Mannen;Hoger beroepsonderwijs;0222 Geschiedenis, archeologie;2016;307;67
64315;Mannen;Hoger beroepsonderwijs;0222 Geschiedenis, archeologie;2017;327;66
64316;Mannen;Hoger beroepsonderwijs;0222 Geschiedenis, archeologie;2018;346;59
64317;Mannen;Hoger beroepsonderwijs;0222 Geschiedenis, archeologie;2019;356;69
64318;Mannen;Hoger beroepsonderwijs;0222 Geschiedenis, archeologie;2020;421;91
64319;Mannen;Hoger beroepsonderwijs;0222 Geschiedenis, archeologie;2021;454;85
64320;Mannen;Hoger beroepsonderwijs;0223 Filosofie en ethiek;2010;0;0
64321;Mannen;Hoger beroepsonderwijs;0223 Filosofie en ethiek;2011;0;0
64322;Mannen;Hoger beroepsonderwijs;0223 Filosofie en ethiek;2012;0;0
64323;Mannen;Hoger beroepsonderwijs;0223 Filosofie en ethiek;2013;0;0
64324;Mannen;Hoger beroepsonderwijs;0223 Filosofie en ethiek;2014;0;0
64325;Mannen;Hoger beroepsonderwijs;0223 Filosofie en ethiek;2015;0;0
64326;Mannen;Hoger beroepsonderwijs;0223 Filosofie en ethiek;2016;0;0
64327;Mannen;Hoger beroepsonderwijs;0223 Filosofie en ethiek;2017;0;0
64328;Mannen;Hoger beroepsonderwijs;0223 Filosofie en ethiek;2018;0;0
64329;Mannen;Hoger beroepsonderwijs;0223 Filosofie en ethiek;2019;0;0
64330;Mannen;Hoger beroepsonderwijs;0223 Filosofie en ethiek;2020;0;0
64331;Mannen;Hoger beroepsonderwijs;0223 Filosofie en ethiek;2021;0;0
64332;Mannen;Hoger beroepsonderwijs;023 Talen;2010;188;43
64333;Mannen;Hoger beroepsonderwijs;023 Talen;2011;228;67
64334;Mannen;Hoger beroepsonderwijs;023 Talen;2012;233;62
64335;Mannen;Hoger beroepsonderwijs;023 Talen;2013;248;61
64336;Mannen;Hoger beroepsonderwijs;023 Talen;2014;268;63
64337;Mannen;Hoger beroepsonderwijs;023 Talen;2015;243;46
64338;Mannen;Hoger beroepsonderwijs;023 Talen;2016;227;31
64339;Mannen;Hoger beroepsonderwijs;023 Talen;2017;230;41
64340;Mannen;Hoger beroepsonderwijs;023 Talen;2018;208;40
64341;Mannen;Hoger beroepsonderwijs;023 Talen;2019;196;32
64342;Mannen;Hoger beroepsonderwijs;023 Talen;2020;188;33
64343;Mannen;Hoger beroepsonderwijs;023 Talen;2021;202;51
64344;Mannen;Hoger beroepsonderwijs;0230 Talen z.n.d.;2010;0;0
64345;Mannen;Hoger beroepsonderwijs;0230 Talen z.n.d.;2011;0;0
64346;Mannen;Hoger beroepsonderwijs;0230 Talen z.n.d.;2012;0;0
64347;Mannen;Hoger beroepsonderwijs;0230 Talen z.n.d.;2013;0;0
64348;Mannen;Hoger beroepsonderwijs;0230 Talen z.n.d.;2014;0;0
64349;Mannen;Hoger beroepsonderwijs;0230 Talen z.n.d.;2015;0;0
64350;Mannen;Hoger beroepsonderwijs;0230 Talen z.n.d.;2016;0;0
64351;Mannen;Hoger beroepsonderwijs;0230 Talen z.n.d.;2017;0;0
64352;Mannen;Hoger beroepsonderwijs;0230 Talen z.n.d.;2018;0;0
64353;Mannen;Hoger beroepsonderwijs;0230 Talen z.n.d.;2019;0;0
64354;Mannen;Hoger beroepsonderwijs;0230 Talen z.n.d.;2020;0;0
64355;Mannen;Hoger beroepsonderwijs;0230 Talen z.n.d.;2021;0;0
64356;Mannen;Hoger beroepsonderwijs;0231 Vreemde talen;2010;188;43
64357;Mannen;Hoger beroepsonderwijs;0231 Vreemde talen;2011;228;67
64358;Mannen;Hoger beroepsonderwijs;0231 Vreemde talen;2012;233;62
